,user,posts
111,pezzopizzasg,"𝗕𝗬 𝗣𝗢𝗣𝗨𝗟𝗔𝗥 𝗗𝗘𝗠𝗔𝗡𝗗: We overheard last week that customers want our delivery exclusive 𝘛𝘩𝘪𝘯 𝘊𝘳𝘶𝘴𝘵 𝘗𝘪𝘻𝘻𝘢𝘴 to be sold in stores too! Thanks to the overwhelming requests, we are happy to announce that we are now baking our hand-stretched 𝘛𝘩𝘪𝘯 𝘊𝘳𝘶𝘴𝘵 𝘗𝘪𝘻𝘻𝘢𝘴 for walk-in customers too. Have your favourite classics made to order in 𝘛𝘩𝘪𝘯 𝘊𝘳𝘶𝘴𝘵 now for just $23 for a pan and $33 for two.𝗢𝗿𝗱𝗲𝗿 𝗶𝗻 𝗻𝗼𝘄:📌 @grabfoodsg : https://bit.ly/3ciGXxM📌 @deliveroo_sg : https://deliveroo.com.sg/brands/pezzo📌 @foodpandasg : https://bit.ly/3cBbEhZ#pizzatime #grabfoodsg #grabfoodphotobank #foodpandasg"
112,mylifeas_revehsha,Yummy
113,burgerboi.sg,"Find comfort in a burger! A cheesy beef patty stacked with crispy turkey bacon grilled to perfection, topped with the freshest variety of vegetables and accompanied by housemade blue cheese mayonnaise...this artisanal burger boi will definitely have you coming back for more.Order your Boi now at https://burgerboi.oddle.me and enjoy islandwide delivery at 20% off with our promo code NEWBOI20#bestfood #comfortfood #bestfinds #NTU #northspine #nanyangeats #nanyangtechnologicaluniversity #beefburger #cheeseburger #grabfoodsg #foodpandasg #cates #oddleeats"
114,ray_yee,"Continues ... @lloydsinnAnother disappointment: I indicated that I would like to have a queen size bed during my booking. My bed looked like one but I realized it was joined together from 2 single beds. Come on! This is not a budget hotel! With the premium price that I have paid, I could not even get a decent queen size bed? To add salt to the wounds, during check-in, the staff at the concierge reiterated my request during the check in. If she would tell me that the bed I would be getting were 2 joined-single beds, at least my heart was prepared. The whole experience really spoilt my dream #staycationsgTalking about #customercentricity and #transparency these days... #lloydsinnsingapore has much to learn.Well I was determined not to be spoilt by these experiences. So I explored around the area for eateries 🍲 🍱 🥘.Indeed one is spoilt with choices - from local coffee shops to restaurants, a wide selection! Whether it’s comfort food from Killiney Kopitiam, or Hong Kong Tim Sum by So Good Char Chang Ting, there will definitely one that will suit you. Other choices will be like Korean, Japanese, Vietnamese, Western etc. Look out for my food reviews to some of these places I have visited next week.Lloyd’s Inn comes with a simple breakfast set, in collaboration with ABC, Artisan Boulangerie Co. as they don’t have a kitchen or restaurant in the hotel. They do have an outdoor seating areas where you can #grabfoodsg and enjoy the alfresco dining.Overall, a very unique experience. Would I be back again? Hmmmf, I would think twice with the same amount for a hotel that know how to appreciate their guests.Rate: 3/5Price: $$$........#ryphotographytravel #raymondyeehotelreview #hotelreview #sghotelreview #hotelbloggers #travelblog #travelsg #raymondyeetravel #singaporehotel #honestreview #lloydsinn"
115,yvwz_,Love your reviews Raymond! Helped me a lot in choosing my next staycation :)
116,ray_yee,@yvwz_ Thank you for taking time to read! You are most welcome 🙏🏻
117,peppermintjn,"Thanks for sharing! From the view of price per night, I think cruise may be much more worth with meal, sports and entertainment inclusive 😜 Let me know if u need any info!"
118,ray_yee,"@peppermintjn Yes I will DM you one of these days, as I am a bit occupied with projects. Thks for the offer 😊"
119,eatswithluisa,Such a shame~ is this like a villa sort of resort hotel? I have yet to encounter 2 beds joining into one to make it like a queen size before at any hotel be it budget or high end ones 😬
120,ray_yee,@eatswithluisa did you managed to read the part 1 of my post? It’s a boutique hotel. 😊 You can look at the photo of the room layout or the video... *hint* the wall plugs and of course when you started to lay in the middle of the bed... 😮
121,eatswithluisa,"@ray_yee okay sorry, i missed it earlier. I feel like I could almost sense your disappointment while reading your part 1 post. I would have felt cheated as well if I were in your shoes. They should at least specify it properly at their website... 😞It’s not a big deal but I know it can dampen the mood alot. I also agree cus. service is very important, especially for better hotels. The surroundings reminded me of my resort trips in Bali :) That’s why I thought it’s a villa or something."
122,ray_yee,"@eatswithluisa No worries 😉. Yes they have one in Kuta, Bali. Hence the design and layout has the Balinese flair. It’s supposed to be like an oasis in a city center of Singapore. Honestly I was really looking forward for the stay, after those Instagramable photos and good reviews. Alas... 😢"
123,the_harvestsg,"Hi Everyone 👋🏻👋🏻👋🏻LETS SHARE MORE ON WHY SHOULD WE EAT MORE GREENS?❓❓❓HERE ARE THE 6 REASONS TO EAT MORE GREENS.🥦BROCCOLI - HELPS STRENGTHEN THE IMMUNE SYSTEM.🥒CUCUMBER - SUPER HYDRATING & MORE NUTRITIOUS THAN REGULAR WATER.🥬LETTUCE - HIGH IN FIBER HELPING CLEAN THE DIGESTIVE TRACK.KALE - CONTAINS MORE CALCIUM PER CALORIE THAN MEAT.🍃SPINACH - IMPROVES MENTAL FUNCTION BY HELPING PREVENT OXIDATION OF THE BRAIN.ASPARAGUS - CONTAINS MANY ANTI-INFLAMMATORY NUTRIENTS.•••See you in the next post 🤗 & have a good day‼️📍Shenton Way, Downtown Gallery 03-30, Singapore 068815.⏰Mon - Fri : 8am to 5:30pmSat : 10am to 2:30pmContact for Pre Order : 96487905🛵🚴‍♂️Delivery order from Foodpanda & Grabfood•••#visitsingapore #sgfoodblogger #tanjongpagar #onerafflesplace #chinatownsingapore #asiasquare #capitolsingapore #sgfoodlover #instafood_sg #sgfoodies #sgfoodiesparadise #eatoutsg #singaporeinsiders #thefeedfeed #burpplesg #sgfoodporn #sgeats #singapore #sgfoodtrend #whati8today #madewithpassion #sgfoodhunt #igsgfood #wheretoeatsg #foodpandasg #grabfoodsg #deliverysg #sgdelivery #sgfood #onefullerton"
124,myjream,"@yourtea Digestive Tea blend has definitely worked a treat in alleviating my IBS-D #thatsthetea·The core blend of this lifesaver contains herbs such as Shan Zha and Shen Qu that are focused on clearing dampness and waste accumulations, Jue Ming Zi helps to clear heat/inflammation in the digestive system and Ze Xie helps to promote urination to clear out the excess metabolised fluids and dampness.〰️〰️〰️#digestivetea #yourtea #sgfoodhunt #sghawkerfood #sgfoodunion #tslmakan #stfoodtrending #grabfoodsg #deliveroosg #foodpandasg #sgfoodie #8dayseat #hungrygowhere #sgfoodreview #openricesg #sgfoodies #honestwords #foodsg #singaporefood #sgfoodporn #eatoutsg #singaporeinsiders #singaporeeats #sgfoodtrend #sgigfoodie #foodinsingapore #foodinsing #sgfood #burpplesg"
125,makanwarrior,Need some of these tea man...
126,vincentfoodstagram,Natural herbs tea is the best 😍👏
127,_boyz86,Nice 🔥
128,zanthrea,Practical Tcm at home 😍
129,pastapronto.sg,Gorgeous😍
130,darr3n0ng,I need some 😍
131,skytoeat,"17/3/2021 - Show me your love rice, crispy taro puffs#legendaryhongkong #legendaryhongkongrestaurant #jurongpoint #grabfoodsg #showmeyourloverice #showmeyourlove #chickencubes #rice #corn #栗米肉粒飯 #crispytaropuffs #friedyamdumpling #yamdumpling #charsiew #芋角"
132,j.w_cycle_,Shitty rainnnnn :(.••••#rain #suck #grabfoodsg #cycle #insane.
133,thefeatherblade,"TALK ABOUT A PROPER FEAST• Pure beefy goodness along with proper sides and sauces. Let the feasting begin.Now available for dine-in, takeaway and delivery via @grabfoodsgCome hungry 🤙🏻#propersteaks #properburgers #steakhouse #burgerholic #burger #steak #steaklover #steaklovers #beef #gyudon #beefbowl #featherblade #thefeatherblade #foodiesg #sgfoodies #singaporefoodie #sgeats #sgfoodporn #foodgasm #foodsg #singaporeeats #sgfood #singaporeinsiders #supportlocal #homegrown #fooddelivery #grabfood #grabfoodsg📸: @stormscape"
