,author,content,date,retweets,likes,url
169,oo_foodielicious,"▪️MERCHANT BROTHERS▪️⁣⁣Enjoying the best of Portuguese in the comforts of my home. 𝐌𝐞𝐫𝐜𝐡𝐚𝐧𝐭 𝐁𝐫𝐨𝐭𝐡𝐞𝐫𝐬, a local fine food purveyors of over 100 retail items, allows you to whip up a feast with their Portugal-imported ingredients like spices, olive oil, dairy products and more. Furthermore, they are now offering a scrumptious menu via CaterConnect, featuring signature Portuguese delights such as 𝐀ç𝐨𝐫𝐝𝐚 𝐝𝐞 𝐁𝐚𝐜𝐚𝐥𝐡𝐚𝐮 ""𝐁𝐫𝐞𝐚𝐝 𝐏𝐨𝐫𝐫𝐢𝐝𝐠𝐞” $𝟔𝟖.𝟓𝟎 (seafood stew in sourdough rye bread), 𝐁𝐚𝐜𝐚𝐥𝐡𝐚𝐮 à 𝐁𝐫á𝐬 $𝟑𝟓 (a codfish-infused snack) and 𝐏𝐚𝐬𝐭é𝐢𝐬 𝐝𝐞 𝐍𝐚𝐭𝐚 𝐰𝐢𝐭𝐡 𝐚 𝐬𝐩𝐫𝐢𝐧𝐤𝐥𝐞 𝐨𝐟 𝐂𝐢𝐧𝐧𝐚𝐦𝐨𝐧 𝐏𝐨𝐰𝐝𝐞𝐫 $𝟏𝟎.𝟖𝟎 (egg tarts).⁣⁣▪️⁣𝐎𝐫𝐝𝐞𝐫 𝐨𝐧𝐥𝐢𝐧𝐞: 𝘔𝘦𝘳𝘤𝘩𝘢𝘯𝘵 𝘉𝘳𝘰𝘵𝘩𝘦𝘳𝘴 𝘢𝘵 𝘩𝘵𝘵𝘱://𝘸𝘸𝘸.𝘱𝘢𝘯𝘵𝘳𝘺𝘴𝘦𝘭𝘦𝘤𝘵𝘴.𝘤𝘰𝘮/ and online platforms like 𝘈𝘮𝘢𝘻𝘰𝘯 𝘍𝘳𝘦𝘴𝘩, 𝘍𝘢𝘪𝘳𝘗𝘳𝘪𝘤𝘦, 𝘓𝘢𝘻𝘢𝘥𝘢, 𝘗𝘢𝘯𝘥𝘢𝘮𝘢𝘳𝘵, 𝘘𝘰𝘰𝟷𝟶, 𝘚𝘩𝘰𝘱𝘦𝘦 and 𝘊𝘢𝘵𝘦𝘳𝘊𝘰𝘯𝘯𝘦𝘤𝘵 ⁣⁣▪️⁣@oo_foodielicious 👀! #oofoodielicious",20/3/21,,,
170,oo_foodielicious,........#sgfoodporn #sgfoodie #burpplesg #sgrestaurant #exploresingaporeeats #hungrygowhere #sonysg #caterconnect #shopeesg #lazadasg #foodpandasg #exploresingapore #visitsingapore #singaporetimes #stfoodtrending #sgonlineshop #foodsg #sgfoodies #merchantbrothers #portuguesefood #portugalfood #portuguesecuisine #seafoodstew #supportlocalsg,20/3/21,,,
171,aggylow,Omg🔥,20/3/21,,,
172,jacelynphang,"Stocking up my office pantry with all my favorite food items from @foodpandasg’s pandamart! 🥰🥰Hooked on it after one use because it can deliver anything you need within 30 minutes 😱 (fast, efficient and time saving!! I love it!).📣 Don’t miss their 𝐅𝐈𝐑𝐒𝐓 𝐏𝐀𝐍𝐃𝐀𝐌𝐀𝐑𝐓 𝐃𝐀𝐘 on 23-24 Mar where you can enjoy up to 50% off more than 1000 products on pandamart!! V good deal 🎉🥳🛍 Save when you shop, when you use @uobgroup card. Get extra $10 off with $40 spending, using <UOBMARTDAY>. No better time to stock up your essentials from food, wine, beer, to beauty and personal care and more! 🥳✨",20/3/21,,,
173,jacelynphang,.....#jacelynphang #contentcreator #foodpanda #clozette #foodpandasg #lookbooksg #officelady #iloveeating #sgshop #smartshopping #shoponline #sgig #igers #styleblogger #pandamartsg #styleinspo #sgblogger #singaporeblogger,20/3/21,,,
174,wafflenessa,So happy 😍,20/3/21,,,
175,aggylow,Looking so good 🔥,20/3/21,,,
176,daryjenne_,Gg shopping~~~ 🛒🛒,20/3/21,,,
177,sugar73,Love their quick delivery! 👏,21/3/21,,,
178,hi.riyah_weightlost_journey,"LET'S DOWNSIZE FOR SYAWALRecipies sihat & cukup nutrisi for iftar da settle✅✅Klau ada impian nk downsize & bergaya, da penat dengar makcik² kata ""Da ""Sihat"" eh kau""😅Jom sama2 kiter sama² lose weight dengan sihat.Bulan Ramadhan lagi, laju² je turun berat.Click link in bio to to know more about the programme.♡ 25 days programme♡ Meal plan provided♡ Recipes provided♡ Health topics♡ Group coaching & support♡ Combo workout video#nakkurus #jomkurus #jomsihat #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workinglife #hotdeals #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute",20/3/21,,,
179,cherzinga,💝 GIVEAWAY 💝One day I don't need to use the PS5 IG filter 🥲 But you have a chance to win it yourself from @foodpandasg!!foodpanda is giving away 5 PlayStation 5 sets!! Make 3 orders on pandamart; or every 2 orders on foodpanda shops for an entry to the lucky draw! (Min spent $20 per order) < Contest ends 31 March 2021 >To save more:• Get $6 off on orders above $40 with <XLCART40>• Get $8 off with orders above $60 with <XLCART60>• $15 off orders above $80 with <XLCART80>(Applicable for all shops and pandamart outlets till end of March 2021)@foodpandasg #PlayStation5 #foodpandasg #sggiveaway #giveawaysg #sgcontest,20/3/21,,,
180,bolby404,OwO,20/3/21,,,
181,alexdope,FREE PS5 WHAT YOU WAITING FOR?!,20/3/21,,,
182,cherzinga,@alexdope KEKW,20/3/21,,,
183,g1d30n_y30,Wa,20/3/21,,,
184,lcg1ant,Love the hair!,20/3/21,,,
185,mezameplaysgames,O_o,21/3/21,,,
186,gogiyo.sg,"Korean Street BBQ - Gogi LoverComfort food during this 🌧 season 🤤Let’s gogiyo ~📍978 Toa Payoh N, #02-01, S319001 (Central)📍420A Clementi Ave 1, S120420 (West)📍69 Bedok South Ave 3, S460069",20/3/21,,,
187,gogiyo.sg,#gogiyosg #singapore #koreanbbq #armystew #foodporn #seafood #singaporehawker #coffeeshop #singaporefood #singaporefoodie #foodstagram #foodie #foodieofinstagram #eatbooksg #delivery #foodpandasg #grabfoodsg #lunch #dinner #ricebowl #ramyon #lunch #whatsforlunch #koreanricebowl #koreanfood,20/3/21,,,
188,donburiyo,🤘🏼Get Yours Today🤘🏼Milk Tea Series• Brown Sugar (Healthier Choice Logo)• Rose• Matcha• Earl Grey• Vanilla Ice Cream• TaroMilk Series• Rock Melon• Almond#hausbrewsg #donburiyosg #supportlocalbusinesssg #japanesefoodsg #takeawaysg #dabaosg #foodsg #foodiesg #fooddeliverysg #grabfoodsg #foodpandasg #deliveroosg #goodfoodisgoodmood,20/3/21,,,
189,fazlina_manap,Choose your calories wisely😃A complete healthy plate of carbs and protein and right portion for your body size.These are some of the skills that we will learn in our weight loss program. Master this and you will sail smoothly in your weight loss journey!Join our weight loss program where you can learn how to lose weight healthily.. learn and apply healthy habits that your body will thank you for in the future.Click the link in my bio @fazlina_manap and contact me for details of program.#teamlivfit #fazlina_manap #nakkurus #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickinhussein #teamahmadmizah #teamdillanur #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #kawinkawin,20/3/21,,,
190,fazlina_manap,"20% done!💪🏻Alhamdullilah, baru habis dating at the gym 🥰#teamlivfit #fazlina_manap #nakkurus #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickinhussein #teamahmadmizah #teamdillanur #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #kawinkawin",20/3/21,,,
191,fuzzizzi,Amboi amboi ..dah boleh naik pelamin lagi nampaknya ni,20/3/21,,,
192,fazlina_manap,@fuzzizzi Masyallah Tabarakkallah. Naik pelamin belum plan lagi tapi mcm nak plan buat makeover photoshoot 🤭🤭😂😂,20/3/21,,,
193,kedaikopisg,"Great News!Hoping to get your hands on our super cute “Bandung Grenade” but planning to have order a delivery? Now you can order it on @grabfoodsg and @foodpandasg on the following stalls1) Tenderbest (Clementi)2) 380 Nasi Lemak3) Hawkerman Street Kitchen4) Banana GrillJust search for the name on the platform. On top of it, some of the stalls are offering discount on delivery fee for limited time too.Giant Yakult Drinks anyone?#kedaikopisg #clementi #sghalal #tenderfreshsg #kimlycoffeeshop #grabfood #grabfoodsg #foodpandasg #foodpanda #giantyakult #sghalalfood #halalsgfood #halalsg #sghalaldeals #eatbooksg #hhwt #tslmakan #sgmakan #sgmakandiary #sgfood #sgfoodgram #singaporeinsiders #8dayseat #yakult #nasigoreng #hokkienmee #sghawkerfood",20/3/21,,,
194,indis_sky_kitchen,#comingsoon #indisskykitchen #foodpandasg #honestbowl 😋🧡,20/3/21,,,
195,sherrng,Can you spot a new toy here that you might be winning from @foodpandasg ?🎮YES! @foodpandasg is giving away 5 x #PlayStation5You can stand a chance to win a PlayStation5 when you order from #foodpandasg! For every 3 orders on pandamart; or every 2 orders on foodpanda shops = 1 chance with a minimum spend of $20 per order to qualify.And I’m gonna share with y’all some hacks! Check out my Instagram stories for some discount codes that give you up to $15 off! Order away and may you be one of the 5 lucky winners to win away a PS5! Contest is ending on 31 Mar so goodluck!☘️,20/3/21,,,
196,zhenthesnitch,flfc,20/3/21,,,
197,sherrng,@zhenthesnitch 🌝,21/3/21,,,
198,fairycinematics,CUTE ! 😍,20/3/21,,,
199,sherrng,@fairycinematics 🧚‍♀️💕,21/3/21,,,
200,dotzcraft,The sexy tower next to u! How's your ankle?,20/3/21,,,
201,sherrng,@dotzcraft slowly recovering. Thank you for asking!,21/3/21,,,
202,linweijun20,sherrng姐姐，我祝妳早日康复,20/3/21,,,
203,sherrng,@linweijun20 谢谢你,21/3/21,,,
204,kenpgl,"@foodpandasg is having its first pandamart day on 23 and 24 March when users can enjoy up to 50% off on more than 1,000 products on pandamart and extra $10.00 off with @uobgroup cards.pandamart offers a wide range of products - from food, wine beer and spirits, to beauty and personal care and more with delivery to your home within 30 minutes.📣 Get an extra $10.00 off $40.00 with code <UOBMARTDAY> for @uobgroup card members only.💌 Tks @foodpandasg for arranging!.#foodporn #sgeats #eatsg #sgeat #foodphotography #sgfoodie #sgfoodporn #sgfoodies #whati8today #foodiesg #foodgasm #igfood #singapore #asianfoodporn #foodgram #sgfooddiary #singaporefood #singaporefoodie #新加坡 #吃貨 #相機食先 #nomsg #吃貨人生 #食好西 #kenpgleats #fruits #cider #chips #foodpandasg",20/3/21,,,
205,wang_youlun,👏👏👏👏,20/3/21,,,
206,peroro_,Good choice you have chosen 😍,20/3/21,,,
207,qinzechang,素晴らしい投稿拝見しました😍,21/3/21,,,
208,getfit.nisah,"PERUT HILANG DALAM 1 SEASON! 😍🥰.Jaga makan 80%, add on exercise 20%. Takde rahsianya. Hehe. Follow & commit jee. Semuanya dah tersedia dalam programme. Buat je. Go jeee! Mesti jadiiii! 💃🏻💃🏻.3 MORE SLOTS FOR APRIL INTAKE! 🤩 Click link in bio to know more details about the programme 🥰.💕25 days programme💕Meal plan provided💕Recipes provided💕Group coaching💕Combo workout#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute",20/3/21,,,
209,aikenchia,"Guys! @foodpandasg is giving away 5 x #PlayStation5! 🎮 Food and games and my man-cave experience is complete!Stand 1 chance for every 3 orders on pandamart or every 2 orders made on foodpanda shops (with min spending of $20)Here are some promo codes for all you #foodpandasg users, so you can get discounts discounts you order!1. $6 off $40 (XLCART40)2. $8 off $60 (XLCART60)3. $15 off $80 (XLCART80)Contest is ending on 31st March so go and order now and please let me know if you win!!!",20/3/21,,,
210,rebeccasmith_08,Hahaha so cute.. like a happy child😂😂😂,20/3/21,,,
211,aikenchia,"@rebeccasmith_08 food + games, I'm good",20/3/21,,,
212,joannalhs,I am aiming your skippy!!!,20/3/21,,,
213,aikenchia,@joannalhs I don't even need bread!!,20/3/21,,,
214,niggiru_fagimus,Spiderman miles morales is a good game,20/3/21,,,
215,aikenchia,@niggiru_fagimus quite fun,20/3/21,,,
216,niggiru_fagimus,Highly recommend,20/3/21,,,
217,jxllomi,what games,20/3/21,,,
218,marcus_qjm,@jxllomi hi,20/3/21,,,
219,jxllomi,@marcus_qjm HAHAHAHAHAHA HI,20/3/21,,,
220,hearnmeng,Can you remember you owned the PS 1 at 7 years old bought at Tampines Mall.,20/3/21,,,
221,vantanjy,Ok gg in my @foodpandasg app now to order so I can win ps5 omg,20/3/21,,,
222,aikenchia,@vantanjy Yessss!!!,20/3/21,,,
223,thatboatnoodles_thatmooookata,"Our chef has something up his sleeves for ""Moooo""kataWe thank you for your support!🙋🏼‍♀️🙏🏻Please continue to support us!🥳🥳Operating hours is as follows:1030am - 9pm (monday - friday)“Moooo”kata starts at 4pm(monday - saturday )Sunday & PH: REST🌻Address:121, Telok Ayer Street #01-01 (inside Telok Ayer coffeee shop, stall 4)Singapore 680590#thatmooookata #thatboatnoodles #foodpandasg #telokayercoffeeshop #thaiboatnoodlessg #mookatasg #yummyfoodsg #bestbeefnoodlessg #foodpandadelivery #valueformoneymookata #celebritychoicemookatA #bestbeefnoodlessg #grabfoodsg",20/3/21,,,
224,pooh_ong,Thai milk tea ?,20/3/21,,,
225,hi.riyah_weightlost_journey,"Da lunch...? You all mkn aper tu....?Best kan klau hari2 tak payah pikir nk mkn aper.... kiter ikot je meal plan yg da disediakan...Sedap² & turun berat pulak tu. Best sgt²Nk tahu mcm maner mkn 5 hari pon boleh turun berat, jom click on link in bio.✅ 25 days programme✅ Meal plan provided✅ Recipes provided✅ Health topics✅ Group coaching & support✅ Combo workout video#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eathealthy #eatcleanrecipes #makansedap #singapore #singaporefood #workinglife #hotdeals #singaporesale #activesg #teamnisahsohor #halalsg #halalfood #popular #foodpandasg",20/3/21,,,
226,nusantara.singapore,"Banana leaves serve many purposes in Asian cooking, from adding flavor to foods cooked inside them, to simply being used as a colorful and exotic background for serving-plates and party platters.⁠In Indonesian cuisine, banana leaf is employed in cooking method called pepes and botok; the banana leaf packages containing food ingredients and spices are cooked on steam, in boiled water or grilled on charcoal. Banana leaves are also used to wrap several kinds of snacks kue (delicacies), such as nagasari or kue pisang and otak-otak, and also to wrap pressed sticky rice delicacies such as lemper and lontong.⁠Nusantara Singapore believes in traditional cooking style so you get that authetic taste always!",20/3/21,,,
227,nusantara.singapore,#bananaleaf #nusantarasingapore #nusantara #traditionalcooking #diningexperience #hotspot #traditionalfood #homemade #instafood #cooking #delicious #food #asiancuisine #hungrynusantarasg #fraserstower #sgfoodies #foodpornsg #instafoodsg #sgfoodporn #foodiesg #malayfood #indonesianfood #singaporeanfood #igsgfood #foodpandasg #lunchsg #sglunch #rendang,20/3/21,,,
228,southernsoul.sg,"Indulge in our range of Nashville-Style Hot Sauce Fried Chicken, delivered directly to your doorstep, guilt-free. There's no shame in some comfortfood for the soul!#southernsoul #friedchicken #southernfriedchicken#southernfood #soulfood #comfortfood #chicken#chickenwings #chickenburger #homemade #hotsuace #comfort #foodpandasg #grabfoodsg #deliveroosg #sgmakan #sgfood #diarymakan",20/3/21,,,
229,voltpizzeria.sg,Easter Special. Our Honey Butter Series back by popular demand. Available now. Try it today!#HoneybutterSeries #honeybutterburger #honeybuttertenders #honeybutterwings #burgers #wings #tenders #grabfoodsg #foodpandasg #deliveroosg #sgmakan #Voltpizzeria #volt #Pizza #weekendvibes #limited #easterspecial #easter,20/3/21,,,
230,thatebikechannel,"Chirrey Y1+ Ebike in Red & Black 😍Purchase direct from us at only $1150!Whatsapp: +65 87526499Test ride at 35 Tong Lee Building, Block A, #08-02 (Mattar MRT)☑️ Installment plans available dm to find out#ecodriveebike #y1 #chirrey #ebikesingapore #grabfoodsg #foodpandasg #ebike #ebike #eletricbicycle #riding #singapore #sg #cycle #cycling",20/3/21,,,
231,getfit.nisah,"INI RESULTS SAYA SENDIRI ☺️.Alhamdullilah! Programme weightloss online ni senang jee nak follow. Follow, commit & consistent. Tup tup dah lost 23kg. MasyaAllah tabarakallah. Its going to be worth it! It is for me. So if i can do it, you can too! 🥰🥰.💕25 days programme💕Meal plan provided💕Recipes provided💕Group coaching💕Combo workout#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute",19/3/21,,,
232,donburiyo,🤘🏼Milk Tea Series. Get Yours Today🤘🏼#hausbrewsg #donburiyosg #supportlocalbusinesssg #japanesefoodsg #takeawaysg #dabaosg #foodsg #foodiesg #fooddeliverysg #grabfoodsg #foodpandasg #deliveroosg #goodfoodisgoodmood,19/3/21,,,
233,danialron,Don’t miss out the perfect opportunity to snack while gaming because foodpanda is giving away FIVE PlayStation 5 and you have until the 31st of March to garner as much chances as you can! You get one chance for every 3 orders on pandamart or every 2 orders on foodpanda shops and with a minimum spending of $20! @foodpandasg #PlayStation5 #foodpandasg #sp,19/3/21,,,
234,samin.yasharxl,😍😍😍,19/3/21,,,
235,yomjum14,Okay....but what's wrong with your hair😅,19/3/21,,,
236,espadaposting,Cyclone! Joker!,19/3/21,,,
237,ismamtalha,Bro. The hair 😭😭😭😭.... (hope this is temporary)😅,19/3/21,,,
238,zaimahdotmalik,Omg the hair😭,20/3/21,,,
239,zaimahdotmalik,You were better before,20/3/21,,,
240,zaimahdotmalik,Pls temporary 😅,20/3/21,,,
241,axlixie21,Wow😮😮😮,20/3/21,,,
242,pita.kebabs,"🥙Our #Pita Pockets are available for #Islandwide delivery, #takeaway & #dine-in! 🌐Order Now: www.pitatree.com/orderWe are opened till 1 AM tonight 😉#singapore #discoversg #pitatreesg #sgfoodtrends #sgig #igsg #mediterraneanfoodsg #mediterraneancuisinesg #orchardsg #supperspotsg #singaporesupper #pitapocketsg #sgfoodblogger #sgfoodies #islandelivery #takeaway #eclectiqueconcepts #savefnbsg #grabfoodsg #foodpandasg #chickenshish #supportlocalsg",19/3/21,,,
243,namjaunni,🤔WANT TO WIN A FREE PS5 FROM @foodpandasg?!🤔⁣⁣foodpanda is giving out 5 sets of #Playstation5 and all you have to do is to order from pandamart or foodpanda shops! You get 1 chance for every 3 orders on pandamart or every 2 orders on foodpanda shops with a min spending of $20✨⁣⁣🤑Contest is ending on 31 March 2021 but don’t say I never help hor! Head on over to my IG Stories for some #foodpandasg voucher codes to help make your foodpanda shopping a lot more cheaper!💸💵,19/3/21,,,
244,dasdyl,Yesssss. I wanna win!!!,19/3/21,,,
245,fishballschia,I wanna swim in snacks too,19/3/21,,,
246,adibibrahim666,Malaysia can join or not? Haha,19/3/21,,,
247,nahtanojyt,Time to whack lah sia,19/3/21,,,
248,meggychiaaaa,"Dimsum so fresh like I steamed it myself 🥟🥢 Skip long queues and get your yummy meals with no waiting time! Just order your meal via the @foodpandasg app and select “Pick-Up order” for 30% off from now till the end of March. My favourite restaurants on the list are Tim Ho Wan, Dominos, Wing Zone, and Fat Burger! How about you? Go check it out and let me know ♥️🥢 #foodpandasg",19/3/21,,,
249,arianteo,Auntie Megan 🔥🤩,19/3/21,,,
250,meggychiaaaa,@arianteo shuai ge lai lai 😍,19/3/21,,,
251,larrylow_dragonscorpio,😂😂 so cute 😂😂,19/3/21,,,
252,meggychiaaaa,@larrylow_dragonscorpio 😬😬 xiexie,19/3/21,,,
253,cherylyao,Qttttt,19/3/21,,,
254,meggychiaaaa,@cherylyao hehe thank you cheryl ❤️,20/3/21,,,
255,valniceyek,SO CUTE LOL,19/3/21,,,
256,meggychiaaaa,@valniceyek thank u hehe,19/3/21,,,
257,zoealiciatan,Ur so cute omg,19/3/21,,,
258,meggychiaaaa,@zoealiciatan hehe thanks zoe!!,19/3/21,,,
259,naicotong,LOL A VIBE,19/3/21,,,
260,meggychiaaaa,@naicotong i will steam the best paos for u ❤️,19/3/21,,,
261,jonghandsome,legs closed and bibles open pls!!! 😡😡😡🚨🚨🚨🚨🚨,19/3/21,,,
262,meggychiaaaa,@jonghandsome are u judging a poor auntie 😢,19/3/21,,,
263,peenknees,I love this,19/3/21,,,
264,meggychiaaaa,@peenknees thank u ah girl!,19/3/21,,,
265,genevievesjy,HAHAHAHAHAHA UR POSE PLS,19/3/21,,,
266,meggychiaaaa,@genevievesjy sis i gotta keep it AUTHENTIC,19/3/21,,,
267,llua,HAHAHHA megan 👏😂,19/3/21,,,
268,meggychiaaaa,@llua HAHAH THANK U laura ❤️,19/3/21,,,
269,hannahalkaff,HAHA I LOVE THIS,19/3/21,,,
270,meggychiaaaa,@hannahalkaff THANK U i think i can start my own restaurant 😜,19/3/21,,,
271,aeaeeo,my fav of all your photos,19/3/21,,,
272,meggychiaaaa,@aeaeeo HAHAHHA bringing home vibes to u across the web ❤️,20/3/21,,,
273,berlycia,if i order foodpanda will i see u at my doorstep,19/3/21,,,
274,meggychiaaaa,@berlycia good question pls @foodpandasg!,19/3/21,,,
275,jimmy__teo,看着鲍鱼吃点心😂,19/3/21,,,
276,meggychiaaaa,@jimmy__teo 我在看点心！,19/3/21,,,
277,sierralixing,U damn cute Sia,19/3/21,,,
278,meggychiaaaa,@sierralixing no u 😤✋🏼,19/3/21,,,
279,jerrylimyz,This is legit the best photo of you I’ve ever seen that encapsulates your entirety,19/3/21,,,
280,meggychiaaaa,@jerrylimyz that is QUESTIONABLE 🧐🧐,19/3/21,,,
281,jerrylimyz,@meggychiaaaa you are questionable,19/3/21,,,
282,qhventures,Kopi bing pls aunty,19/3/21,,,
283,meggychiaaaa,@qhventures ah boy wrong store,19/3/21,,,
284,meggychiaaaa,🏷,19/3/21,,,
285,meggychiaaaa,#igsg #sgootd #sgig #exploresg #sggirls #sgbeauty #sginsta #sginstagram #sgblogger #sggirl #girlgetters #sgladies #lifestylesg #singaporegirl #tedssingapore #singaporean,19/3/21,,,
286,berlycia,dim sum dolly,19/3/21,,,
287,crazybubble,HAHAHAHA I CACKLED,19/3/21,,,
288,meggychiaaaa,@crazybubble ISSA DIFF VIBE,19/3/21,,,
289,bagofbeautiful,Love your face ♥️,19/3/21,,,
290,muzzyus,Does that make @qhventures an auntie killer 👀,19/3/21,,,
291,meggychiaaaa,@muzzyus since 1999,19/3/21,,,
292,mattlovescookies,@thewan4u Doppelgänger,19/3/21,,,
293,meggychiaaaa,@mattlovescookies STOPPPP HAHAHA,19/3/21,,,
294,potatolab.sg,Easter Special. Our Honey Butter Series back by popular demand. Available now. Try it today!#HoneybutterSeries #honeybutterburger #honeybuttertenders #honeybutterwings #PotatoLab #burgers #wings #tenders #grabfoodsg #foodpandasg #deliveroosg #sgmakan #potatolab #fries #potato #lab #TGIF #Fridayvibes #weekendvibes #limited,19/3/21,,,
295,phatfingers.sg,"Nacho Kimcheese @PhatFingers is one of our Top Mega Sides! Get your hands messy with the oozy nacho cheese, gochujang aioli, kimchi salsa, chopped picked cucumbers and scallions topped on the seasoned tortilla chips!Order now from the link in our bio, and enjoy an exclusive 20% discount from Grabfood, Foodpanda, Deliveroo! for a limited time only!#Nacho #Nachokimcheese #kimcheese #Top #Mega #Topmegasides #oozynachocheese #gochujang #gochujiangaioli #kimchisalsa #choppedpickedcucumbers #scallions #toppings #seasonedtorillachips #chils #messy #koreanchicken #korean #deliveroosg #foodpandasg #grabfoodsg #oddleats #sgmakan #sgmakandiary #makangowheresg",19/3/21,,,
296,tiffinwalla.sg,"Kick start your weekend with Tiffin Walla's Buddy MealsMeals are more delicious when shared with your friend or family! Dig into a Butter Chicken Set or Chicken Tikka Masala Set, Saag Paneer Set, 2 Garlic Naans and Vegetable SamosasOrder now and enjoy an exclusive up to 25% discount for Grabfood Bundle & Deal.#TiffinWalla #Buddymeal #bundle #Bundlendeal #mealsfortwo #chicken #butterchicken #chickentikka #chickentikkamasala #saag #paneer #garlic #garlicnaans #vegetables #vegetablesamosas #foodpandasg #deliveroosg #Grabfoodsg #Oddleeats #makangowhere #makan #foodie #indian #indiancuisine",19/3/21,,,
297,southernsoul.sg,Easter Special. Our Honey Butter Series back by popular demand. Available now. Try it today!#HoneybutterSeries #honeybutterburger #honeybuttertenders #honeybutterwings #burgers #wings #tenders #grabfoodsg #foodpandasg #deliveroosg #sgmakan #southernsoul #southern #TGIF #easterspecial #easter #limitedtime,19/3/21,,,
298,millionfactoryclub,VersatilityIt pumps many things. Get your pancit tyre fixed on the go! Don’t let it cut your spirit down while doing delivery 💯DM us for inquiries!Share with your rider kakis who has a flat tyre... 🚴‍♂️🏍,19/3/21,,,
299,millionfactoryclub,......#grabfood #grabsg #gradfoodsg #grabdelivery #foodpanda #foodpandasg #deliveroo #deliveroosg #mfc #millionfactoryclub #deliveryriders,19/3/21,,,
300,publicopastabar,Easter Special. Our Honey Butter Series back by popular demand. Available now. Try it today!#HoneybutterSeries #honeybutterburger #honeybuttertenders #honeybutterwings #PotatoLab #burgers #wings #tenders #grabfoodsg #foodpandasg #deliveroosg #sgmakan #publicopastabar #pasta #Limited #EasterDay,19/3/21,,,
301,ichigoes__,"| respect all, fear none",19/3/21,,,
302,ichigoes__,#JustGoShoot #InstaGood #InstaPhoto #PicOfTheDay #PhotoOfTheDay #Photogram #Capture #PhotographyDaily #PhotographyIsLife #iPhoneography #Camera #Composition #Photoshop #Instadaily #Igers #Cityscape #HDR #HDRspotters #Instafocus #IGworldclub #Visuals #Aesthetics #ThroughTheLens #Snapshot #Exposure #Moment #foodpanda #foodpandasg,19/3/21,,,
303,heyyogurtsg,"Goodbye, BBT. 👋 GOOD BUY = Hey Yogurt! 👍Snack on some healthy goodness instead for your tea-time break and we'll reward you with 𝗙𝗥𝗘𝗘 𝗗𝗘𝗟𝗜𝗩𝗘𝗥𝗬.Order now with OFFPEAK promo on GrabFood.*T&Cs apply.#freedeliverygrabfood #freedelivery #grabfoodsg #heyyogurt #heyyogurtsg #yogurtdrink #yogurt #singapore #sgfoodie #sgfood #sgdrink #bbt #bbtsg #byebbtheyyogurt #friday #march #marchpromo #foodpanda #foodpandasg #grabfood #ourtampineshub #jurongpoint #vivocity #friday",19/3/21,,,
304,currywok_sg,"Dining in at the comfort of your home with your family? Or, having a picnic day out with your children?Look no further! We provide great outdoor 𝐩𝐚𝐜𝐤𝐞𝐝 𝐦𝐞𝐚𝐥𝐬 for any occasion. ⛱Enjoy this school holiday with your kids, with our easy to carry and crispy 𝐝𝐞𝐥𝐢𝐜𝐢𝐨𝐮𝐬 𝐟𝐢𝐧𝐠𝐞𝐫 𝐟𝐨𝐨𝐝.🏖Bring our Party Platter / Bento Set/ Kong Bak Pau /Dessert and party at home or anywhere outside anytime. 🎏📞 Call us/WhatsApp at 91070265 to find out more!#currywoksg #fooddeliverysg #sgdelivery #sgcomfortfood #savefnbsg #homecookedfood #deliveroosg #foodpandasg #grabfoodsg #eatoutsg #whati8today #hungrygowhere #topcitybites #8dayseat #singaporeinsiders #eatoutSG #sgfood #sgfoodies #foodsg",19/3/21,,,
